Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,51,51,1955,13.7,.583,.441,.081,2.7,6.5,4.6,11.8,1.3,1.3,9.1,19.4,2.4,1.1,3.4,.084,0.5,-1.4,-0.9,0.6,,bridgmi01
2,Josh Hart,29,NYK,SG,50,50,1879,18.0,.647,.335,.263,6.9,22.2,14.7,20.1,2.0,0.9,14.7,14.9,4.8,2.3,7.1,.182,2.3,1.5,3.8,2.7,,hartjo01
3,Anthony Edwards,23,MIN,SG,49,49,1798,18.8,.588,.482,.258,2.3,14.7,8.7,21.3,1.6,1.7,13.1,30.9,2.0,2.3,4.4,.117,3.5,-0.3,3.2,2.4,,edwaran01
4,OG Anunoby,27,NYK,PF,49,49,1778,14.4,.590,.450,.191,4.2,10.5,7.4,7.5,1.9,2.2,8.6,18.1,2.4,1.7,4.0,.108,0.2,-0.4,-0.2,0.8,,anunoog01
5,Jalen Brunson,28,NYK,PG,50,50,1764,22.4,.605,.317,.382,1.5,7.8,4.7,32.5,1.3,0.2,10.1,29.4,6.1,1.0,7.1,.192,5.0,-1.7,3.2,2.3,,brunsja01
6,Jayson Tatum,26,BOS,PF,48,48,1751,21.9,.587,.505,.325,1.7,24.4,13.0,25.6,1.7,1.3,11.1,30.5,3.6,2.9,6.5,.178,4.5,0.9,5.4,3.3,,tatumja01
7,Tyler Herro,25,MIA,SG,47,47,1670,19.3,.613,.551,.236,1.1,15.8,8.5,26.4,1.0,0.3,11.5,27.3,3.1,1.4,4.6,.131,4.0,-1.1,3.0,2.1,,herroty01
8,Domantas Sabonis,28,SAC,C,46,46,1666,23.6,.669,.182,.324,12.0,31.4,21.7,26.7,0.8,1.2,16.2,21.6,5.6,1.9,7.6,.218,4.8,1.0,5.8,3.3,,sabondo01
9,Rudy Gobert,32,MIN,C,50,50,1665,16.6,.676,.000,.539,11.5,22.8,17.3,8.1,1.0,4.3,14.5,12.1,3.6,2.7,6.3,.183,-0.3,1.3,1.1,1.3,,goberru01
10,Michael Porter Jr.,26,DEN,SF,50,50,1663,16.7,.627,.469,.191,5.7,15.1,10.6,8.9,0.9,1.3,8.2,20.3,3.3,1.0,4.3,.125,2.1,-1.9,0.2,0.9,,portemi01
11,De'Aaron Fox,27,SAC,PG,45,45,1663,19.0,.567,.324,.279,3.0,11.9,7.4,25.8,1.9,1.2,11.8,28.8,2.3,1.4,3.7,.107,2.1,-0.9,1.2,1.3,,foxde01
12,Jalen Green,22,HOU,SG,50,50,1655,15.1,.552,.463,.228,1.8,12.5,7.0,13.6,1.3,0.9,11.7,27.2,1.3,2.0,3.3,.096,1.2,-0.7,0.6,1.1,,greenja05
13,Trae Young,26,ATL,PG,46,46,1653,17.7,.561,.491,.403,1.4,8.4,4.8,47.2,1.6,0.6,18.4,28.5,2.2,0.9,3.1,.091,2.7,-2.4,0.3,0.9,,youngtr01
14,Cade Cunningham,23,DET,PG,46,46,1639,19.7,.549,.303,.227,2.9,16.7,9.8,44.3,1.2,2.0,16.3,32.9,1.6,1.6,3.2,.095,3.4,-0.4,3.0,2.1,,cunnica01
15,Tyrese Haliburton,24,IND,PG,48,48,1634,19.7,.592,.575,.233,2.1,9.6,5.9,35.0,1.8,1.8,10.6,21.5,4.4,1.2,5.6,.164,4.4,-0.5,3.9,2.5,,halibty01
16,Devin Booker,28,PHO,SG,44,44,1631,20.6,.592,.414,.373,2.9,8.9,6.0,29.5,1.5,0.7,10.5,29.4,4.2,0.6,4.8,.141,3.5,-1.9,1.6,1.5,,bookede01
17,Pascal Siakam,30,IND,PF,49,49,1621,20.1,.615,.281,.257,6.2,18.3,12.4,15.8,1.3,1.3,7.4,23.5,4.0,1.4,5.4,.159,2.8,-0.6,2.3,1.7,,siakapa01
18,Derrick White,30,BOS,SG,48,48,1621,16.0,.599,.705,.166,3.1,10.5,6.8,17.8,1.3,3.1,10.4,19.4,3.0,2.0,5.0,.147,2.4,0.5,2.8,2.0,,whitede01
19,Keegan Murray,24,SAC,PF,46,46,1619,11.3,.537,.518,.098,6.8,15.3,11.1,5.2,1.1,2.3,7.1,14.7,1.2,1.3,2.5,.074,-1.4,-1.0,-2.3,-0.1,,murrake02
20,Nikola Vučević,34,CHI,C,50,50,1614,21.2,.630,.316,.149,7.8,25.4,16.7,17.0,1.3,1.9,9.4,22.3,3.9,1.7,5.6,.167,3.0,0.0,2.9,2.0,,vucevni01
21,Shai Gilgeous-Alexander,26,OKC,PG,47,47,1604,31.0,.644,.263,.393,2.8,13.3,8.1,30.6,2.8,3.1,9.8,34.8,7.1,3.5,10.6,.317,8.6,3.3,11.9,5.7,,gilgesh01
22,Nikola Jokić,29,DEN,C,44,44,1600,33.1,.660,.221,.319,9.9,28.2,19.5,45.1,2.4,1.7,12.3,29.7,8.4,2.4,10.8,.324,10.7,3.4,14.1,6.5,,jokicni01
23,Christian Braun,23,DEN,SG,49,47,1599,15.1,.654,.269,.267,4.5,11.4,8.1,8.0,1.6,1.4,8.3,15.6,3.3,1.1,4.4,.133,0.2,-0.7,-0.5,0.6,,braunch01
24,Karl-Anthony Towns,29,NYK,C,46,46,1597,25.0,.640,.281,.347,10.7,33.7,22.4,14.5,1.4,2.1,11.6,26.8,5.1,2.4,7.5,.226,4.4,0.1,4.5,2.6,,townska01
25,Tyrese Maxey,24,PHI,PG,42,42,1597,21.2,.573,.444,.274,0.8,10.3,5.3,29.4,2.5,1.1,9.3,31.0,3.1,1.2,4.2,.128,4.2,-0.8,3.4,2.2,,maxeyty01
26,Fred VanVleet,30,HOU,PG,45,45,1596,13.6,.521,.595,.174,1.9,10.0,5.8,22.6,2.2,1.1,10.0,18.1,2.1,2.2,4.3,.129,0.2,1.3,1.4,1.4,,vanvlfr01
27,Bam Adebayo,27,MIA,C,47,47,1594,17.7,.535,.188,.303,8.0,23.7,15.9,21.5,1.9,2.2,12.5,22.8,1.4,2.4,3.8,.114,-0.1,0.9,0.9,1.1,,adebaba01
28,James Harden,35,LAC,PG,47,47,1589,18.7,.566,.513,.432,2.0,16.8,9.5,37.7,2.1,1.8,19.3,29.8,1.4,2.6,3.9,.118,2.5,0.7,3.2,2.1,,hardeja01
29,Jamal Murray,27,DEN,PG,44,44,1583,16.9,.562,.340,.220,2.0,10.0,6.2,23.4,1.9,1.4,10.8,23.9,2.3,1.2,3.5,.106,0.8,-0.9,-0.1,0.8,,murraja01
30,Kelly Oubre Jr.,29,PHI,SF,46,43,1580,13.3,.543,.349,.247,5.3,16.9,10.8,8.6,2.1,1.4,9.1,18.7,0.9,1.4,2.3,.070,-1.6,-0.4,-2.0,0.0,,oubreke01
31,DeMar DeRozan,35,SAC,SF,44,44,1577,17.2,.569,.163,.322,1.7,9.9,5.8,15.3,1.5,1.1,6.6,24.3,2.7,1.0,3.8,.115,0.3,-0.9,-0.6,0.6,,derozde01
32,Toumani Camara,24,POR,PF,49,49,1575,11.7,.569,.494,.182,7.5,12.1,9.8,8.8,2.1,1.7,14.1,13.8,1.3,1.2,2.5,.076,-1.3,0.3,-1.0,0.4,,camarto01
33,Jaden McDaniels,24,MIN,PF,50,50,1568,12.2,.556,.414,.152,5.2,13.8,9.6,7.7,2.3,2.6,10.1,15.2,1.1,2.4,3.5,.107,-2.0,1.7,-0.3,0.7,,mcdanja02
34,Julius Randle,30,MIN,PF,48,48,1564,17.2,.578,.328,.370,7.4,16.9,12.3,22.0,1.1,0.7,14.8,25.6,2.3,1.9,4.2,.128,1.1,-0.3,0.8,1.1,,randlju01
35,Jaylen Brown,28,BOS,SF,44,44,1559,17.9,.550,.326,.290,4.5,14.3,9.4,22.3,1.6,0.7,11.1,29.0,1.8,2.0,3.7,.115,0.6,-0.6,0.0,0.8,,brownja02
36,LeBron James,40,LAL,SF,45,45,1557,23.0,.601,.304,.246,2.9,21.4,12.4,44.7,1.2,1.4,16.0,30.4,3.2,1.6,4.8,.147,5.1,0.4,5.4,2.9,,jamesle01
37,Tobias Harris,32,DET,PF,48,48,1541,12.9,.544,.353,.189,3.1,17.7,10.4,10.4,1.3,2.5,8.4,17.4,1.2,1.6,2.8,.088,-1.1,0.3,-0.9,0.4,,harrito02
38,Ivica Zubac,27,LAC,C,48,48,1531,21.0,.617,.000,.258,13.4,30.4,22.0,12.4,1.1,3.6,12.2,18.9,3.2,2.9,6.1,.192,1.4,0.8,2.2,1.6,,zubaciv01
39,Dillon Brooks,29,HOU,SF,47,47,1517,10.2,.542,.514,.133,4.0,8.8,6.3,6.5,1.2,0.6,7.8,17.3,1.4,1.6,3.0,.096,-1.8,-0.2,-2.0,0.0,,brookdi01
40,Dyson Daniels,21,ATL,SG,45,45,1517,14.5,.527,.293,.144,5.3,11.9,8.5,16.0,4.2,2.2,12.8,18.0,0.3,2.2,2.5,.078,-1.9,2.6,0.7,1.0,,daniedy01
41,Anfernee Simons,25,POR,SG,47,47,1515,14.6,.553,.522,.173,1.1,8.3,4.7,24.3,1.3,0.3,11.3,24.2,1.8,0.5,2.3,.073,1.4,-1.9,-0.5,0.6,,simonan01
42,Brook Lopez,36,MIL,C,47,47,1510,13.3,.591,.532,.139,3.9,11.6,7.9,7.4,1.1,5.7,8.9,15.2,1.4,1.7,3.2,.100,-0.4,0.5,0.1,0.8,,lopezbr01
43,Donovan Mitchell,28,CLE,SG,48,48,1500,21.2,.585,.500,.220,2.4,12.7,7.7,22.7,2.2,0.6,8.9,30.6,3.3,1.8,5.1,.164,4.0,-0.2,3.9,2.2,,mitchdo01
44,Bilal Coulibaly,20,WAS,SF,45,45,1492,11.1,.521,.366,.312,4.3,11.3,7.7,14.6,1.9,2.1,14.6,17.6,-0.2,0.5,0.4,.011,-2.8,-0.7,-3.5,-0.6,,coulibi01
45,Bennedict Mathurin,22,IND,SF,47,42,1490,13.0,.581,.341,.319,4.4,15.6,10.1,8.0,0.9,1.1,12.4,21.7,0.7,1.0,1.7,.055,-1.6,-1.8,-3.4,-0.5,,mathube01
46,Austin Reaves,26,LAL,SG,43,43,1490,16.8,.596,.514,.309,2.7,11.1,7.0,26.2,1.6,0.4,13.5,22.8,2.6,1.0,3.6,.117,1.8,-0.9,0.9,1.1,,reaveau01
47,Alperen Şengün,22,HOU,C,47,47,1476,22.3,.538,.090,.338,11.5,24.7,17.9,25.5,1.9,2.3,11.9,26.5,2.8,2.8,5.5,.180,3.3,2.0,5.2,2.7,,sengual01
48,Jalen Williams,23,OKC,SG,45,45,1476,19.7,.559,.291,.230,2.7,15.2,9.1,23.7,2.6,2.4,10.7,27.4,1.9,3.2,5.1,.165,2.1,2.0,4.1,2.3,,willija06
49,Kentavious Caldwell-Pope,31,ORL,SG,48,48,1474,9.5,.547,.620,.177,1.3,6.6,3.8,8.9,2.5,1.6,9.6,12.9,0.6,2.1,2.6,.086,-3.5,1.7,-1.8,0.1,,caldwke01
50,Amen Thompson,22,HOU,SF,47,20,1472,18.4,.599,.132,.425,9.0,18.9,13.8,14.4,2.2,3.4,15.0,17.7,2.5,2.7,5.2,.171,1.0,2.3,3.4,2.0,,thompam01
51,Damian Lillard,34,MIL,PG,40,40,1458,21.4,.617,.514,.391,1.6,11.5,6.7,30.4,1.6,0.6,12.2,27.6,4.1,1.3,5.4,.177,4.5,-1.0,3.5,2.0,,lillada01
52,Darius Garland,25,CLE,PG,48,48,1454,22.2,.633,.445,.232,2.0,6.9,4.5,33.1,1.8,0.6,12.4,27.8,4.8,1.3,6.2,.203,5.4,-0.8,4.6,2.4,,garlada01
53,Jarrett Allen,26,CLE,C,50,50,1445,22.3,.724,.005,.423,10.2,27.8,19.2,8.9,1.5,2.9,10.2,15.7,5.0,2.4,7.4,.247,3.1,0.9,4.0,2.2,,allenja01
54,Kyrie Irving,32,DAL,SG,40,40,1444,19.9,.600,.383,.219,3.4,10.6,7.1,21.3,1.6,0.9,10.2,26.8,3.2,1.1,4.3,.142,4.1,-0.7,3.5,2.0,,irvinky01
55,Anthony Davis,31,LAL,C,42,42,1440,27.3,.601,.124,.423,9.6,29.1,19.6,17.0,1.8,5.7,9.4,30.4,3.8,2.5,6.3,.209,4.5,1.3,5.8,2.9,,davisan02
56,Coby White,24,CHI,SG,44,44,1434,13.9,.584,.571,.227,1.1,9.5,5.4,20.4,1.4,0.5,13.5,23.5,1.1,0.7,1.8,.061,-0.4,-1.7,-2.1,-0.1,,whiteco01
57,Zach LaVine,29,CHI,SF,42,42,1432,18.5,.637,.430,.256,0.9,13.6,7.3,20.6,1.3,0.6,13.3,26.6,2.2,0.8,3.0,.101,2.7,-1.3,1.4,1.2,,lavinza01
58,Giannis Antetokounmpo,30,MIL,PF,41,41,1431,30.0,.620,.037,.513,7.3,29.3,18.7,33.2,1.0,3.5,11.8,36.3,4.2,2.2,6.4,.215,6.2,1.9,8.0,3.6,,antetgi01
59,Jaren Jackson Jr.,25,MEM,C,48,48,1424,21.2,.598,.320,.337,5.2,16.4,10.9,11.0,2.0,5.0,10.2,29.0,2.6,2.4,5.0,.168,2.3,1.0,3.3,1.9,,jacksja02
60,Carlton Carrington,19,WAS,PG,49,34,1412,7.9,.498,.560,.107,1.3,12.9,7.0,18.5,1.2,0.6,14.7,14.2,-0.4,0.2,-0.2,-0.006,-4.2,-1.2,-5.4,-1.2,,carrica01
61,Kevin Durant,36,PHO,PF,39,39,1410,21.7,.632,.318,.326,1.3,16.8,9.3,20.1,1.1,3.4,12.4,29.8,2.5,1.1,3.5,.121,3.8,-0.5,3.3,1.9,,duranke01
62,Tyus Jones,28,PHO,PG,48,48,1408,14.6,.600,.553,.095,2.0,6.9,4.5,28.6,1.5,0.3,12.4,15.7,2.8,0.4,3.2,.109,1.3,-1.3,-0.1,0.7,,jonesty01
63,Myles Turner,28,IND,C,45,45,1401,15.0,.600,.453,.273,4.9,19.0,12.1,6.9,1.3,5.4,13.3,20.6,0.7,1.6,2.3,.080,-0.8,0.0,-0.9,0.4,,turnemy01
64,Dennis Schröder,31,2TM,SG,47,41,1400,12.8,.539,.460,.208,1.0,9.1,4.9,29.3,1.8,0.5,14.5,22.7,0.7,1.0,1.7,.058,-1.4,-1.1,-2.5,-0.2,,schrode01
64,Dennis Schröder,31,BRK,PG,23,23,772,16.3,.588,.462,.249,0.6,10.0,5.1,33.6,1.7,0.5,14.1,23.9,1.1,0.5,1.6,.100,1.1,-1.2,-0.1,0.4,,schrode01
64,Dennis Schröder,31,GSW,SG,24,18,628,8.6,.474,.458,.155,1.6,8.0,4.7,24.1,1.9,0.5,15.2,21.2,-0.5,0.6,0.1,.006,-4.6,-0.9,-5.4,-0.5,,schrode01
65,Malik Beasley,28,DET,SG,50,11,1389,15.0,.589,.705,.127,2.2,9.5,5.9,10.0,1.6,0.1,7.4,22.8,1.8,1.0,2.8,.098,2.0,-1.2,0.8,1.0,,beaslma01
66,Jakob Poeltl,29,TOR,C,45,44,1389,19.2,.624,.004,.255,12.3,23.8,18.0,13.8,1.8,4.0,14.6,18.2,2.4,1.7,4.1,.142,0.3,0.8,1.1,1.1,,poeltja01
67,Deni Avdija,24,POR,SF,48,30,1387,16.1,.591,.418,.420,4.6,20.2,12.3,18.0,1.8,1.8,16.7,21.8,1.4,1.4,2.8,.095,0.5,0.3,0.8,1.0,,avdijde01
68,P.J. Washington,26,DAL,PF,42,41,1383,14.1,.544,.360,.274,5.5,21.5,13.7,9.9,1.8,2.7,12.6,19.6,0.6,1.8,2.3,.081,-0.8,0.4,-0.4,0.5,,washipj01
69,Payton Pritchard,27,BOS,PG,50,0,1379,17.5,.636,.739,.115,5.3,8.9,7.1,18.0,1.6,0.6,8.5,18.6,3.8,1.5,5.3,.185,3.3,0.1,3.4,1.9,,pritcpa01
70,Chris Paul,39,SAS,PG,47,47,1367,15.8,.577,.638,.202,1.7,13.1,7.5,37.9,2.2,0.6,16.2,14.2,3.0,1.3,4.2,.149,0.6,0.9,1.5,1.2,,paulch01
71,RJ Barrett,24,TOR,SF,41,41,1365,16.6,.549,.303,.310,3.3,18.7,11.0,27.2,1.2,0.9,13.3,28.8,0.6,0.9,1.5,.054,1.2,-1.0,0.2,0.8,,barrerj01
72,Norman Powell,31,LAC,SG,41,41,1360,19.8,.638,.466,.281,1.2,10.7,6.0,11.4,2.0,0.6,9.8,27.2,2.8,1.8,4.5,.160,3.4,0.1,3.5,1.9,,powelno01
73,Victor Wembanyama,21,SAS,C,41,41,1357,24.5,.596,.477,.214,5.6,28.7,17.3,19.3,1.6,10.4,14.2,31.0,1.0,2.8,3.7,.132,3.8,3.2,7.0,3.1,,wembavi01
74,Jalen Wilson,24,BRK,PF,49,15,1350,8.6,.522,.539,.236,4.2,10.6,7.3,10.5,1.0,0.1,11.1,16.4,0.2,0.5,0.7,.026,-3.2,-1.4,-4.6,-0.9,,wilsoja03
75,Josh Giddey,22,CHI,PG,47,47,1350,15.5,.537,.372,.209,5.9,20.4,13.3,31.4,1.8,1.5,19.7,20.1,0.9,1.3,2.3,.081,0.1,0.6,0.7,0.9,,giddejo01
76,Luguentz Dort,25,OKC,SF,46,46,1336,11.5,.582,.682,.104,5.5,10.4,8.0,7.4,1.7,2.3,7.8,13.5,1.7,2.3,4.0,.144,-0.7,0.9,0.2,0.8,,dortlu01
77,Jrue Holiday,34,BOS,PG,44,44,1330,13.0,.564,.560,.149,4.0,11.8,7.9,16.8,1.6,1.3,12.1,15.9,1.7,1.6,3.3,.119,-0.4,0.6,0.2,0.8,,holidjr01
78,Russell Westbrook,36,DEN,PG,48,27,1328,16.0,.556,.337,.310,5.7,14.2,10.2,30.5,2.6,1.6,20.7,22.5,0.8,1.4,2.2,.081,0.1,0.3,0.4,0.8,,westbru01
79,Harrison Barnes,32,SAS,PF,47,47,1319,14.0,.642,.468,.354,5.4,9.4,7.4,9.0,0.6,0.7,6.4,14.7,2.9,0.5,3.4,.124,1.0,-1.4,-0.4,0.5,,barneha02
80,Malik Monk,26,SAC,SG,41,28,1315,16.6,.564,.467,.201,1.3,11.8,6.5,26.7,1.5,1.8,11.4,24.2,1.8,1.0,2.8,.104,1.4,-0.6,0.8,0.9,,monkma01
81,Evan Mobley,23,CLE,PF,44,44,1314,22.2,.638,.225,.324,7.9,24.7,16.5,13.6,1.4,4.3,11.7,22.9,3.3,2.2,5.5,.201,2.8,1.2,4.0,2.0,,mobleev01
82,Collin Sexton,26,UTA,SG,46,44,1313,16.8,.600,.338,.288,4.1,6.9,5.6,24.1,1.1,0.3,14.2,26.2,2.3,0.0,2.3,.084,1.8,-2.5,-0.6,0.5,,sextoco01
83,Jaylen Wells,21,MEM,SG,50,45,1310,11.3,.580,.547,.194,4.4,8.3,6.4,8.4,1.0,0.4,8.9,16.4,1.7,1.0,2.8,.102,-0.5,-0.9,-1.5,0.2,,wellsja01
84,Shaedon Sharpe,21,POR,SG,43,31,1309,13.6,.547,.423,.220,2.5,11.4,6.9,12.8,1.3,0.7,10.7,24.4,0.7,0.6,1.3,.047,-0.6,-1.7,-2.3,-0.1,,sharpsh01
85,Tim Hardaway Jr.,32,DET,SG,46,46,1308,9.5,.576,.655,.245,0.9,7.7,4.3,7.4,0.8,0.1,7.1,15.0,1.3,0.6,1.9,.069,-1.6,-1.2,-2.8,-0.3,,hardati02
86,Rui Hachimura,26,LAL,PF,41,41,1307,13.6,.613,.394,.189,5.5,12.5,9.1,6.6,1.3,1.5,8.1,15.8,1.8,1.0,2.8,.104,-0.3,-0.7,-1.0,0.3,,hachiru01
87,Jordan Poole,25,WAS,SG,42,42,1304,15.4,.574,.577,.266,1.5,8.9,5.1,25.6,2.2,1.5,16.0,28.2,0.2,0.4,0.7,.024,1.1,-1.5,-0.4,0.5,,poolejo01
88,Andrew Wiggins,29,GSW,SF,43,43,1296,16.6,.566,.422,.304,5.2,11.0,8.0,12.1,1.5,2.4,7.7,23.5,1.8,1.3,3.1,.116,1.5,-0.6,0.9,1.0,,wiggian01
89,Gradey Dick,21,TOR,SG,43,43,1284,11.9,.556,.499,.241,2.6,9.4,6.0,9.7,1.4,0.6,10.0,22.1,0.6,0.5,1.2,.043,-1.1,-1.8,-2.9,-0.3,,dickgr01
90,Jalen Johnson,23,ATL,SF,36,36,1284,17.4,.569,.260,.232,5.0,25.7,15.0,21.3,2.0,2.6,15.1,22.3,0.8,1.6,2.4,.091,0.3,1.3,1.6,1.2,,johnsja05
91,Scottie Barnes,23,TOR,PF,37,37,1277,18.0,.534,.291,.268,5.1,20.4,12.7,28.5,2.0,2.6,13.9,26.9,0.7,1.3,2.0,.076,1.7,0.5,2.3,1.4,,barnesc01
92,Amir Coffey,27,LAC,SG,49,11,1275,11.1,.616,.492,.239,2.1,8.2,5.2,6.2,1.1,0.5,8.2,14.9,1.7,1.3,2.9,.110,-1.4,-0.1,-1.6,0.1,,coffeam01
93,Yves Missi,20,NOP,C,47,41,1274,15.3,.582,.003,.439,13.6,18.7,16.1,7.3,1.0,5.0,13.8,13.5,1.8,0.7,2.5,.094,-1.8,-1.2,-3.0,-0.3,,missiyv01
94,Stephen Curry,36,GSW,PG,40,40,1271,19.9,.600,.619,.199,1.6,13.8,7.5,31.8,1.7,1.4,13.6,28.2,2.3,1.3,3.6,.137,5.3,-0.3,5.0,2.3,,curryst01
95,Josh Green,24,CHO,SG,44,43,1263,8.4,.578,.579,.180,3.6,7.1,5.3,7.4,1.9,0.9,12.0,10.9,0.8,0.9,1.8,.067,-3.9,0.4,-3.5,-0.5,,greenjo02
96,Cason Wallace,21,OKC,SG,46,32,1259,11.2,.524,.433,.058,4.3,9.1,6.7,10.9,3.1,2.1,9.6,11.9,0.8,2.6,3.4,.130,-2.3,2.9,0.6,0.8,,wallaca01
97,Guerschon Yabusele,29,PHI,C,47,25,1258,15.4,.639,.485,.237,7.8,17.1,12.2,11.6,1.4,1.5,13.0,16.5,2.3,0.9,3.2,.121,0.7,-0.7,-0.1,0.6,,yabusgu01
98,Terry Rozier,30,MIA,PG,44,21,1256,11.1,.513,.475,.172,3.0,12.6,7.9,15.6,1.0,1.0,11.0,20.5,-0.1,1.0,0.9,.034,-2.3,-1.4,-3.7,-0.5,,roziete01
99,Jerami Grant,30,POR,PF,39,39,1255,11.8,.537,.501,.295,1.9,9.5,5.6,10.1,1.1,2.9,8.7,19.7,0.9,0.6,1.5,.059,-0.6,-0.9,-1.4,0.2,,grantje01
100,Naz Reid,25,MIN,C,49,2,1253,16.9,.615,.493,.168,4.0,17.7,11.0,11.1,1.4,3.0,9.5,21.2,2.0,1.8,3.8,.146,1.6,1.0,2.6,1.4,,reidna01
101,CJ McCollum,33,NOP,PG,37,37,1240,16.3,.552,.447,.182,2.1,10.1,5.9,19.5,1.1,1.5,7.8,27.3,1.2,0.1,1.3,.050,1.5,-2.6,-1.1,0.3,,mccolcj01
102,Taurean Prince,30,MIL,SF,48,41,1230,9.8,.607,.645,.084,2.3,12.9,7.8,10.5,1.5,0.5,13.6,12.2,0.9,1.1,2.0,.079,-1.9,0.0,-2.0,0.0,,princta02
103,Ochai Agbaji,24,TOR,SG,44,34,1227,12.1,.614,.479,.085,3.3,11.2,7.2,8.1,1.5,2.1,8.5,13.8,1.4,0.7,2.1,.081,-0.4,0.0,-0.4,0.5,,agbajoc01
104,Spencer Dinwiddie,31,DAL,PG,49,18,1223,13.0,.552,.503,.355,1.0,9.3,5.2,20.3,1.7,0.7,10.8,17.4,1.7,0.9,2.5,.099,-0.7,-0.2,-0.9,0.3,,dinwisp01
105,Ayo Dosunmu,25,CHI,SG,40,22,1221,13.3,.587,.421,.173,2.2,10.2,6.2,20.8,1.3,1.3,10.9,16.3,1.8,0.7,2.5,.097,-1.0,-0.4,-1.4,0.2,,dosunay01
106,Tristan Da Silva,23,ORL,SF,47,35,1216,9.9,.527,.499,.128,5.4,13.3,9.1,10.2,0.9,0.9,10.4,15.1,0.5,1.3,1.8,.071,-2.2,-0.5,-2.7,-0.2,,dasiltr01
107,Jalen Duren,21,DET,C,47,47,1211,20.1,.711,.000,.417,15.1,27.8,21.5,13.0,1.2,4.4,20.0,15.6,3.0,1.8,4.8,.191,0.5,1.1,1.6,1.1,,durenja01
108,Derrick Jones Jr.,27,LAC,SF,48,45,1207,14.0,.605,.348,.171,6.1,10.2,8.2,5.3,2.4,1.6,9.6,16.4,1.4,1.8,3.2,.127,-0.9,1.0,0.1,0.6,,jonesde02
