Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
213,Dean Wade,28,CLE,PF,35,26,799,11.3,.555,.832,.140,4.9,19.0,12.1,8.2,1.8,1.8,5.5,10.8,1.0,1.1,2.1,.127,-0.4,1.4,1.0,0.6,,wadede01
214,Sam Merrill,28,CLE,SG,42,2,785,11.1,.569,.866,.103,3.0,8.0,5.6,10.7,1.5,0.9,6.7,15.5,1.1,0.7,1.8,.108,-0.4,0.0,-0.5,0.3,,merrisa01
215,Luka Dončić,25,DAL,PG,22,22,785,24.6,.584,.455,.313,2.2,22.4,12.6,36.6,2.7,1.0,12.4,32.8,1.8,1.1,2.9,.177,5.6,1.3,7.0,1.8,,doncilu01
216,Cole Anthony,24,ORL,PG,46,8,781,13.8,.519,.394,.209,4.2,16.6,10.0,28.1,1.9,1.9,15.4,26.5,-0.3,1.2,0.9,.057,-1.3,0.5,-0.8,0.2,,anthoco01
217,Tari Eason,23,HOU,PF,33,1,778,18.9,.556,.327,.228,9.5,19.5,14.3,6.8,3.8,3.4,8.3,19.2,1.2,1.8,3.0,.183,1.1,3.0,4.2,1.2,,easonta01
218,Trey Lyles,29,SAC,PF,39,2,775,11.9,.539,.683,.193,6.2,20.4,13.3,6.3,1.5,2.4,8.9,14.3,0.5,0.8,1.4,.084,-0.8,-0.4,-1.2,0.2,,lylestr01
219,Ron Holland,19,DET,SF,50,1,772,10.5,.544,.375,.235,3.8,16.2,10.0,7.3,1.8,0.9,12.9,18.4,0.0,0.8,0.8,.050,-3.7,-0.1,-3.9,-0.4,,hollaro01
220,Dereck Lively II,20,DAL,C,32,25,768,20.6,.704,.000,.390,14.2,20.9,17.6,15.3,1.1,6.2,15.8,13.7,2.4,1.0,3.4,.212,1.6,2.3,4.0,1.2,,livelde01
221,Jimmy Butler,35,MIA,PF,25,25,766,22.8,.638,.137,.612,7.9,10.6,9.3,24.8,1.7,1.2,8.2,21.0,3.0,0.7,3.7,.232,4.2,0.4,4.6,1.2,,butleji01
222,Moses Moody,22,GSW,SG,42,5,765,12.9,.588,.619,.223,2.8,9.5,6.1,8.9,1.3,1.6,8.1,19.1,0.8,0.6,1.5,.092,-0.1,-0.6,-0.7,0.2,,moodymo01
223,Vasilije Micić,31,CHO,PG,36,16,764,7.0,.462,.458,.150,2.7,9.7,6.1,24.6,1.0,0.0,20.3,20.2,-1.0,0.4,-0.6,-0.038,-4.3,-2.3,-6.6,-0.9,,micicva01
224,Jeremy Sochan,21,SAS,PF,28,19,758,15.8,.582,.169,.286,9.9,19.2,14.6,14.2,1.7,1.8,14.8,18.9,0.8,0.8,1.6,.102,-0.6,0.5,-0.1,0.4,,sochaje01
225,Luke Kornet,29,BOS,C,45,6,755,19.2,.682,.000,.415,14.3,17.6,15.9,12.1,1.5,5.1,10.2,10.8,2.6,1.3,3.8,.244,1.5,2.1,3.5,1.0,,kornelu01
226,Garrison Mathews,28,ATL,SG,41,2,750,11.5,.609,.848,.329,1.8,9.6,5.6,9.8,1.6,1.4,9.6,15.9,1.0,0.5,1.5,.093,-1.3,-0.5,-1.8,0.0,,mathega01
227,Chris Boucher,32,TOR,PF,43,0,748,19.5,.633,.522,.248,7.9,19.5,13.7,5.1,1.5,3.1,7.0,21.7,1.6,0.7,2.3,.147,3.5,-0.8,2.7,0.9,,bouchch01
228,Zach Edey,22,MEM,C,36,29,747,18.2,.626,.156,.284,17.0,21.6,19.3,6.2,1.5,5.1,16.4,17.9,1.3,1.3,2.5,.162,-0.2,0.2,-0.1,0.4,,edeyza01
229,Aaron Gordon,29,DEN,PF,28,19,747,15.3,.631,.325,.367,6.8,12.8,9.9,12.7,0.8,0.7,12.3,18.0,1.5,0.4,1.9,.121,1.4,-1.5,-0.1,0.3,,gordoaa01
230,Jonathan Isaac,27,ORL,PF,45,0,745,16.8,.504,.479,.310,12.5,22.4,17.1,4.6,2.4,7.4,6.5,17.2,0.6,1.7,2.2,.143,-1.0,1.3,0.4,0.4,,isaacjo01
231,Kristaps Porziņģis,29,BOS,C,26,26,744,23.0,.613,.452,.347,6.2,20.6,13.4,11.5,1.4,5.1,5.8,25.3,2.2,1.3,3.5,.228,4.2,1.3,5.5,1.4,,porzikr01
232,Moussa Diabaté,23,CHO,C,40,4,742,15.0,.601,.016,.397,16.8,22.5,19.6,5.6,1.9,3.7,20.0,10.5,0.9,1.1,1.9,.124,-2.1,0.1,-2.0,0.0,,diabamo01
233,Jordan Hawkins,22,NOP,SG,32,5,741,9.7,.497,.589,.184,1.7,10.2,5.8,6.0,1.4,1.6,8.0,21.4,-0.4,0.1,-0.3,-0.020,-2.8,-3.1,-5.9,-0.7,,hawkijo01
234,Jamal Shead,22,TOR,PG,44,0,737,9.1,.517,.439,.127,1.8,5.8,3.8,28.4,1.6,0.7,21.3,17.5,-0.2,0.3,0.1,.007,-3.2,-1.4,-4.6,-0.5,,sheadja01
235,Jeremiah Robinson-Earl,24,NOP,PF,41,6,736,12.8,.543,.465,.146,10.2,18.8,14.3,9.7,1.8,0.8,12.1,13.7,0.7,0.4,1.1,.070,-1.3,-1.2,-2.5,-0.1,,robinje02
236,Terance Mann,28,LAC,SG,37,12,732,10.5,.533,.385,.164,4.9,11.3,8.1,11.2,1.9,1.5,10.7,13.8,0.4,1.0,1.4,.095,-2.6,1.1,-1.5,0.1,,mannte01
237,Eric Gordon,36,PHI,SG,36,13,723,11.7,.615,.675,.251,0.9,5.8,3.2,11.4,1.7,1.6,10.5,14.5,0.8,0.3,1.2,.077,-0.2,-0.7,-0.9,0.2,,gordoer01
238,Ben Sheppard,23,IND,SG,35,8,718,8.6,.545,.695,.075,3.8,10.3,7.1,8.0,1.3,1.2,6.3,11.6,0.5,0.4,1.0,.065,-2.5,-0.3,-2.7,-0.1,,sheppbe01
239,Vit Krejci,24,ATL,PG,35,15,711,10.6,.572,.665,.141,1.9,10.9,6.3,16.6,1.7,2.2,13.3,13.4,0.5,0.5,1.1,.073,-2.0,0.8,-1.2,0.1,,krejcvi01
240,Jalen Smith,24,CHI,C,46,1,706,18.8,.598,.546,.230,10.0,27.9,19.1,8.5,0.8,4.3,8.0,20.6,1.3,0.8,2.2,.146,1.3,-0.8,0.5,0.4,,smithja04
241,Kevon Looney,28,GSW,C,43,6,701,18.2,.528,.011,.326,18.0,27.0,22.4,15.9,2.2,2.4,10.6,14.1,1.4,1.2,2.6,.181,-0.4,1.1,0.6,0.5,,looneke01
242,Kyle Filipowski,21,UTA,C,38,8,689,11.8,.564,.407,.333,6.3,21.9,14.2,14.5,1.5,0.7,16.1,14.8,0.5,0.4,0.9,.064,-2.0,0.0,-2.0,0.0,,filipky01
243,Brice Sensabaugh,21,UTA,SF,38,1,687,13.2,.601,.607,.121,3.9,12.2,8.1,11.5,1.6,0.4,15.0,22.0,0.4,0.2,0.6,.039,0.1,-1.7,-1.6,0.1,,sensabr01
244,Matas Buzelis,20,CHI,SF,49,0,683,11.3,.550,.488,.171,4.8,15.9,10.4,4.1,0.7,5.2,10.1,17.6,0.0,0.6,0.7,.046,-3.2,-0.8,-4.0,-0.3,,buzelma01
245,Tyrese Martin,25,BRK,SG,32,6,681,10.2,.521,.603,.117,5.6,16.4,10.8,12.9,1.0,0.7,13.7,18.8,-0.2,0.4,0.2,.015,-1.4,-1.5,-2.9,-0.2,,martity01
246,Jordan Clarkson,32,UTA,SG,26,3,665,15.4,.542,.447,.289,2.7,10.8,6.8,23.8,1.7,1.0,13.1,28.0,0.4,0.2,0.6,.043,1.0,-1.7,-0.6,0.2,,clarkjo01
247,Nick Richards,27,2TM,C,30,17,659,16.3,.609,.012,.657,12.2,29.4,20.7,8.0,0.7,5.0,18.4,17.7,0.7,0.9,1.6,.115,-2.4,-0.3,-2.7,-0.1,,richani01
247,Nick Richards,27,CHO,C,21,9,440,17.4,.614,.009,.763,12.0,26.9,19.2,9.7,0.8,5.8,17.8,17.8,0.6,0.6,1.2,.132,-2.1,0.3,-1.8,0.0,,richani01
247,Nick Richards,27,PHO,C,9,8,219,14.2,.598,.017,.448,12.5,34.3,23.8,4.6,0.5,3.4,19.7,17.5,0.1,0.3,0.4,.083,-3.1,-1.3,-4.5,-0.1,,richani01
248,Lindy Waters III,27,GSW,SG,38,9,655,8.6,.498,.722,.054,2.5,13.5,7.8,8.8,1.6,1.4,7.5,14.6,0.0,0.7,0.7,.052,-3.5,0.2,-3.3,-0.2,,waterli01
249,Herbert Jones,26,NOP,SF,20,20,648,10.5,.541,.419,.233,3.5,9.7,6.5,13.9,2.8,1.3,15.6,14.6,0.2,0.3,0.5,.035,-3.7,0.1,-3.6,-0.3,,joneshe01
250,Lonzo Ball,27,CHI,PG,30,9,647,12.7,.524,.827,.107,3.3,13.2,8.3,20.5,3.2,2.0,14.9,15.6,0.3,0.8,1.1,.079,-1.6,2.0,0.4,0.4,,balllo01
251,Cameron Payne,30,NYK,PG,45,1,642,16.0,.568,.625,.139,2.0,9.3,5.7,24.1,2.1,1.6,9.3,21.1,1.3,0.6,1.9,.141,1.4,0.1,1.5,0.6,,payneca01
252,Maxi Kleber,33,DAL,PF,34,4,637,5.7,.489,.510,.219,4.3,11.6,8.0,8.3,0.7,2.3,17.9,8.6,0.0,0.4,0.4,.032,-4.0,0.4,-3.6,-0.3,,klebima01
253,Ricky Council IV,23,PHI,SF,41,4,634,13.6,.541,.427,.344,5.1,14.4,9.5,11.5,1.5,1.1,8.7,19.9,0.6,0.4,1.0,.072,-0.4,-1.6,-2.1,0.0,,councri01
254,Julian Phillips,21,CHI,SF,49,3,633,9.7,.557,.535,.259,7.0,8.7,7.9,4.1,1.5,1.5,9.6,13.8,0.4,0.4,0.8,.058,-3.0,-1.1,-4.1,-0.3,,phillju01
255,Tidjane Salaün,19,CHO,PF,34,8,625,7.1,.433,.629,.182,5.8,18.4,11.9,8.3,1.6,0.9,13.6,14.4,-0.5,0.6,0.1,.007,-4.6,-0.1,-4.7,-0.4,,salauti01
256,Daniel Theis,32,NOP,C,38,9,621,12.2,.558,.287,.287,7.4,21.7,14.3,13.1,1.4,3.0,14.7,11.6,0.6,0.4,1.0,.080,-3.2,-0.2,-3.3,-0.2,,theisda01
257,Shake Milton,28,2TM,SG,38,1,620,12.5,.583,.459,.243,3.6,9.3,6.4,19.9,1.4,0.3,12.0,16.5,0.8,0.3,1.2,.089,-1.2,-0.4,-1.6,0.1,,miltosh01
257,Shake Milton,28,BRK,SG,27,1,492,13.0,.580,.459,.210,3.6,8.5,6.0,20.7,1.5,0.2,10.4,17.1,0.7,0.2,1.0,.094,-0.7,-0.3,-1.1,0.1,,miltosh01
257,Shake Milton,28,LAL,SG,11,0,128,10.4,.601,.464,.429,3.6,12.1,8.0,16.6,0.8,0.7,19.4,14.2,0.1,0.1,0.2,.072,-3.0,-0.5,-3.5,0.0,,miltosh01
258,Precious Achiuwa,25,NYK,C,30,3,614,15.6,.584,.138,.237,11.8,20.7,16.3,6.5,2.5,3.5,13.0,13.6,0.8,0.9,1.7,.136,-0.7,0.5,-0.2,0.3,,achiupr01
259,Cam Thomas,23,BRK,SG,19,17,614,18.5,.596,.427,.383,1.8,11.3,6.4,19.6,1.1,0.2,11.5,31.9,0.8,0.3,1.1,.085,2.8,-2.0,0.8,0.4,,thomaca02
260,Jonathan Mogbo,23,TOR,PF,37,6,612,13.0,.533,.162,.318,11.5,15.9,13.7,12.4,2.1,2.7,15.0,14.2,0.5,0.6,1.1,.085,-1.8,0.5,-1.4,0.1,,mogbojo01
261,Jaden Hardy,22,DAL,SG,39,3,609,10.4,.545,.477,.181,1.3,9.5,5.5,13.1,1.7,0.7,16.0,24.9,-0.5,0.4,-0.1,-0.004,-3.0,-1.5,-4.5,-0.4,,hardyja02
262,Jose Alvarado,26,NOP,PG,27,7,599,14.9,.565,.670,.158,2.1,7.7,4.8,26.9,2.7,1.2,11.9,18.4,0.9,0.2,1.1,.091,0.4,-0.5,-0.1,0.3,,alvarjo01
263,Dalen Terry,22,CHI,SG,47,1,598,8.6,.548,.375,.292,4.8,7.4,6.1,12.2,1.7,1.6,17.7,13.8,0.1,0.4,0.5,.038,-4.3,-0.3,-4.6,-0.4,,terryda01
264,Dalano Banton,25,POR,PG,39,0,598,15.0,.519,.438,.257,2.3,11.5,6.9,21.9,2.3,3.1,13.0,26.0,0.0,0.5,0.5,.044,1.0,0.0,1.0,0.5,,bantoda01
265,Kel'el Ware,20,MIA,C,33,7,598,18.8,.635,.290,.157,7.4,23.8,15.7,5.7,1.6,5.2,9.3,18.3,0.9,1.0,1.9,.150,0.3,0.3,0.6,0.4,,wareke01
266,Bogdan Bogdanović,32,ATL,SG,24,0,598,7.7,.502,.652,.152,2.1,10.0,5.9,11.2,1.6,0.9,13.4,18.8,-0.4,0.4,-0.1,-0.005,-4.3,-0.6,-4.9,-0.4,,bogdabo01
267,Brandon Ingram,27,NOP,SF,18,18,595,16.3,.560,.345,.165,3.0,15.7,9.1,27.2,1.3,1.7,16.2,30.2,-0.1,0.2,0.1,.007,1.5,-1.8,-0.3,0.3,,ingrabr01
268,Donovan Clingan,20,POR,C,37,10,593,16.4,.566,.146,.238,18.0,26.0,22.0,6.5,1.3,8.7,20.5,14.9,0.4,0.9,1.4,.110,-2.7,1.1,-1.6,0.1,,clingdo01
269,Jusuf Nurkić,30,PHO,C,25,23,592,12.7,.556,.362,.423,8.9,33.2,21.4,11.1,1.9,2.5,22.8,18.7,-0.2,0.9,0.6,.052,-3.8,0.5,-3.3,-0.2,,nurkiju01
270,Jared McCain,20,PHI,SG,23,8,592,15.6,.589,.485,.204,2.5,9.0,5.5,17.0,1.3,0.0,11.0,25.0,0.7,0.2,0.9,.071,2.0,-1.5,0.5,0.4,,mccaija01
271,Oso Ighodaro,22,PHO,PF,39,2,591,10.0,.572,.019,.330,6.6,17.1,12.0,8.5,1.5,2.1,15.9,10.8,0.4,0.5,0.8,.068,-3.5,0.2,-3.3,-0.2,,ighodos01
272,Kyle Lowry,38,PHI,PG,30,12,589,10.3,.543,.762,.276,1.9,10.5,6.0,19.4,2.6,1.6,14.5,10.3,0.6,0.5,1.1,.087,-2.5,1.8,-0.7,0.2,,lowryky01
273,Ja'Kobe Walter,20,TOR,SG,31,8,587,9.2,.499,.483,.220,3.9,10.0,6.9,10.3,1.6,1.0,9.5,18.2,-0.1,0.3,0.2,.019,-3.4,-1.3,-4.7,-0.4,,walteja01
274,Justin Champagnie,23,WAS,SF,31,13,583,15.6,.611,.478,.159,7.9,17.6,12.6,7.8,2.5,3.1,11.4,15.7,0.7,0.5,1.1,.093,-0.5,0.5,0.0,0.3,,champju01
275,Kris Murray,24,POR,SF,42,0,575,10.0,.509,.399,.209,8.1,9.5,8.8,8.8,1.4,1.3,11.6,13.9,0.2,0.3,0.5,.039,-1.9,-0.7,-2.6,-0.1,,murrakr01
276,Drew Eubanks,27,2TM,C,38,4,575,16.1,.634,.034,.390,7.7,24.4,16.1,11.7,0.8,5.3,15.3,14.8,0.8,0.5,1.3,.108,-0.8,0.7,-0.1,0.3,,eubandr01
276,Drew Eubanks,27,UTA,C,37,4,568,16.2,.632,.034,.393,7.8,24.5,16.2,11.8,0.9,5.3,15.4,14.9,0.8,0.5,1.3,.108,-0.8,0.7,-0.1,0.3,,eubandr01
276,Drew Eubanks,27,LAC,C,1,0,7,12.3,1.000,.000,.000,0.0,15.7,7.9,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,.150,-2.0,-3.1,-5.1,0.0,,eubandr01
277,Paolo Banchero,22,ORL,PF,17,17,574,15.6,.500,.290,.414,4.2,23.0,12.9,26.1,1.0,2.0,12.8,33.3,-0.6,0.8,0.3,.021,0.2,-0.4,-0.2,0.3,,banchpa01
278,Johnny Juzang,23,UTA,SG,32,5,571,11.2,.585,.714,.132,3.7,13.1,8.5,8.4,1.0,0.8,7.4,15.9,0.8,0.1,0.9,.073,-0.8,-1.5,-2.3,0.0,,juzanjo01
279,Neemias Queta,25,BOS,C,39,5,570,15.8,.688,.016,.349,10.4,17.4,13.9,6.4,1.1,4.5,14.7,13.0,1.2,0.9,2.1,.177,-1.7,1.0,-0.6,0.2,,quetane01
280,Jay Huff,26,MEM,C,43,1,564,18.2,.681,.665,.211,4.2,13.8,9.1,7.0,0.9,6.5,10.1,19.5,1.3,0.8,2.1,.175,2.9,1.0,3.9,0.8,,huffja01
281,Moritz Wagner,27,ORL,C,30,1,564,22.4,.649,.301,.442,7.7,23.8,15.2,14.1,2.1,2.1,14.1,26.7,1.0,1.0,2.0,.174,2.8,1.3,4.1,0.9,,wagnemo01
282,Ausar Thompson,22,DET,SF,28,17,563,15.0,.550,.171,.278,8.1,18.1,13.1,12.0,3.7,2.2,15.3,18.7,0.2,1.0,1.1,.098,-2.6,2.1,-0.5,0.2,,thompau01
283,Ajay Mitchell,22,OKC,SG,34,1,561,12.4,.604,.307,.199,3.3,9.4,6.4,13.3,2.1,0.5,13.4,15.8,0.7,1.0,1.6,.138,-2.3,1.1,-1.2,0.1,,mitchaj01
284,Cam Reddish,25,LAL,SF,31,8,560,7.8,.529,.523,.302,3.1,9.3,6.3,5.0,2.7,1.6,11.0,8.6,0.1,0.6,0.7,.059,-4.0,1.6,-2.5,-0.1,,reddica01
285,Isaac Okoro,24,CLE,SG,28,16,551,10.4,.567,.595,.191,4.5,6.9,5.7,10.0,1.7,1.8,7.2,11.9,0.8,0.5,1.3,.115,-1.2,0.8,-0.4,0.2,,okorois01
286,Mark Williams,23,CHO,C,22,19,550,27.5,.642,.004,.424,14.0,28.5,21.0,18.2,1.3,4.8,7.7,22.8,2.2,0.8,3.0,.263,4.5,1.1,5.6,1.1,,willima07
287,Marcus Sasser,24,DET,PG,39,0,545,13.4,.573,.513,.126,2.7,7.5,5.1,22.4,2.2,0.7,14.4,18.4,0.6,0.5,1.1,.096,-1.0,0.1,-0.9,0.2,,sassema01
288,Cody Williams,20,UTA,SG,26,12,545,3.3,.389,.525,.183,2.6,8.8,5.7,8.5,1.2,1.7,14.5,11.7,-0.7,0.1,-0.6,-0.051,-6.3,-0.9,-7.2,-0.7,,willico04
289,Seth Curry,34,CHO,SG,40,8,543,12.2,.627,.524,.101,2.9,8.1,5.4,6.8,1.5,0.9,8.8,15.0,0.7,0.4,1.1,.095,-1.0,-0.2,-1.3,0.1,,curryse01
290,Kyle Anderson,31,GSW,PF,36,3,541,15.0,.522,.308,.160,5.1,16.7,10.7,21.3,2.3,3.5,10.0,15.6,0.6,0.8,1.4,.127,-0.2,2.3,2.1,0.6,,anderky01
291,Andre Drummond,31,PHI,C,28,16,538,14.2,.533,.069,.384,14.5,33.0,23.3,4.5,3.0,1.9,20.2,19.1,-0.3,0.8,0.6,.053,-3.6,-0.4,-4.0,-0.3,,drumman01
292,Max Strus,28,CLE,SF,22,9,537,11.2,.569,.784,.047,3.5,15.0,9.4,15.0,1.3,1.3,12.7,13.8,0.6,0.6,1.2,.106,0.0,0.7,0.6,0.4,,strusma01
293,Khris Middleton,33,MIL,SF,23,7,534,18.0,.627,.408,.218,1.0,15.5,8.5,28.5,1.5,0.9,13.8,21.9,1.1,0.6,1.7,.151,1.6,0.2,1.8,0.5,,middlkh01
294,Alex Caruso,30,OKC,SG,28,0,533,12.9,.480,.578,.078,3.6,11.4,7.6,16.1,4.4,2.7,10.2,14.1,0.2,1.3,1.5,.139,-2.1,4.3,2.2,0.6,,carusal01
295,Kenrich Williams,30,OKC,PF,37,1,530,14.5,.603,.485,.101,6.5,18.0,12.4,9.5,2.2,1.0,10.6,15.8,0.8,1.1,1.9,.170,-0.7,1.4,0.7,0.4,,willike04
296,Cam Whitmore,20,HOU,SF,31,0,525,14.6,.532,.449,.162,4.7,15.9,10.2,7.7,1.9,1.6,10.7,24.9,0.1,0.8,0.9,.083,0.1,-0.2,-0.1,0.3,,whitmca01
297,Gary Payton II,32,GSW,SG,38,10,519,14.4,.593,.307,.183,7.1,17.0,11.9,13.8,2.3,2.0,14.0,15.6,0.6,0.7,1.3,.121,-1.9,1.6,-0.4,0.2,,paytoga02
298,Nick Smith Jr.,20,CHO,SG,29,10,500,8.5,.490,.557,.044,1.0,10.8,5.8,14.3,1.1,1.0,11.2,19.7,-0.3,0.3,0.0,.003,-3.2,-1.4,-4.6,-0.3,,smithni01
299,Josh Okogie,26,2TM,SG,32,2,500,16.9,.581,.389,.305,9.2,11.9,10.5,7.2,3.9,2.9,11.7,18.7,0.5,0.7,1.2,.116,0.2,1.8,2.0,0.5,,okogijo01
299,Josh Okogie,26,PHO,SG,25,1,351,16.0,.586,.368,.281,10.4,12.2,11.4,5.9,3.0,2.7,11.1,18.2,0.4,0.4,0.8,.103,0.2,0.2,0.4,0.2,,okogijo01
299,Josh Okogie,26,CHO,SG,7,1,149,19.0,.570,.434,.358,6.3,11.1,8.6,10.4,6.3,3.3,12.8,19.9,0.1,0.3,0.5,.147,0.3,5.4,5.7,0.3,,okogijo01
300,Monte Morris,29,PHO,PG,38,0,493,12.5,.529,.429,.248,2.3,9.8,6.2,18.1,1.6,0.6,8.2,17.5,0.5,0.2,0.7,.067,-1.4,-0.8,-2.2,0.0,,morrimo01
301,Malcolm Brogdon,32,WAS,PG,20,13,490,15.9,.547,.239,.392,4.0,13.6,8.7,26.5,1.0,0.9,11.9,23.6,0.5,0.1,0.6,.059,0.1,-1.6,-1.5,0.1,,brogdma01
302,Day'Ron Sharpe,23,BRK,C,28,0,487,19.2,.556,.165,.295,18.6,22.2,20.3,14.5,2.1,3.5,14.2,21.0,0.7,0.6,1.3,.131,-0.2,0.1,-0.1,0.2,,sharpda01
303,KJ Martin,24,PHI,PF,24,7,480,12.5,.689,.212,.293,4.9,13.1,8.8,5.8,1.1,3.4,9.7,11.4,0.9,0.3,1.2,.120,-1.8,0.4,-1.4,0.1,,martike04
304,Grant Williams,26,CHO,PF,16,7,479,11.6,.596,.602,.301,3.9,14.8,9.2,11.3,1.8,2.7,16.7,14.7,0.3,0.5,0.9,.086,-2.2,0.7,-1.5,0.1,,willigr01
305,Justin Edwards,21,PHI,SF,20,5,472,10.7,.586,.620,.116,4.7,10.7,7.6,8.4,1.6,1.5,11.7,14.4,0.4,0.3,0.6,.063,-1.7,-1.3,-3.0,-0.1,,edwarju01
306,Jaxson Hayes,24,LAL,C,27,6,462,14.8,.695,.023,.465,9.1,17.7,13.5,7.4,1.5,5.0,16.2,11.8,0.9,0.6,1.4,.149,-2.2,1.2,-1.0,0.1,,hayesja02
307,Jett Howard,21,ORL,SF,42,0,461,8.6,.508,.702,.101,4.2,8.9,6.4,8.6,0.8,1.5,9.3,19.3,-0.1,0.5,0.4,.039,-2.5,-1.2,-3.8,-0.2,,howarje01
308,Talen Horton-Tucker,24,CHI,SG,40,0,461,13.9,.570,.440,.261,3.2,12.0,7.7,16.2,1.5,1.5,11.2,20.9,0.4,0.3,0.7,.073,-1.1,-1.0,-2.1,0.0,,hortota01
309,Thomas Bryant,27,2TM,C,33,2,451,19.1,.636,.452,.199,10.3,18.6,14.5,8.1,1.7,4.3,7.0,16.5,1.1,0.6,1.7,.176,2.0,0.4,2.3,0.5,,bryanth01
309,Thomas Bryant,27,MIA,C,10,0,115,15.8,.624,.607,.393,5.8,24.2,15.1,4.9,0.4,7.4,5.7,13.4,0.2,0.2,0.4,.167,-1.0,0.9,-0.2,0.1,,bryanth01
309,Thomas Bryant,27,IND,C,23,2,336,20.2,.639,.415,.153,11.9,16.7,14.3,9.2,2.1,3.3,7.4,17.5,0.9,0.4,1.3,.179,3.0,0.2,3.2,0.4,,bryanth01
310,Tre Jones,25,SAS,PG,28,0,450,13.9,.572,.280,.355,3.6,9.9,6.8,30.9,1.9,1.0,16.3,12.2,0.9,0.3,1.2,.129,-1.3,1.1,-0.2,0.2,,jonestr01
311,Steven Adams,31,HOU,C,35,2,440,17.0,.563,.000,.689,21.4,22.4,21.9,11.9,1.1,3.5,22.0,14.0,0.6,0.7,1.3,.142,0.1,0.2,0.4,0.3,,adamsst01
312,Jamison Battle,23,TOR,SF,34,0,428,12.7,.628,.746,.099,4.9,11.1,8.0,10.1,0.5,0.9,7.5,15.8,0.8,0.1,0.9,.097,1.5,-1.6,0.0,0.2,,battlja01
313,Zach Collins,27,SAS,C,36,4,425,14.5,.566,.348,.265,9.6,15.4,12.5,17.4,1.6,3.1,13.5,17.1,0.6,0.4,1.1,.122,-1.5,1.4,-0.1,0.2,,colliza01
314,Jericho Sims,26,NYK,C,39,5,422,9.9,.619,.000,.283,14.1,20.7,17.5,6.2,0.9,2.2,28.9,7.5,0.4,0.4,0.8,.096,-3.0,-0.5,-3.4,-0.1,,simsje01
