Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Shai Gilgeous-Alexander,26,OKC,PG,47,47,34.1,11.4,21.5,.533,2.0,5.7,.350,9.5,15.8,.598,.579,7.6,8.4,.899,0.9,4.3,5.2,6.0,2.0,1.0,2.7,2.2,32.5,,gilgesh01
2,Giannis Antetokounmpo,30,MIL,PF,41,41,34.9,12.7,20.9,.608,0.1,0.8,.188,12.6,20.1,.624,.611,6.2,10.7,.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,,antetgi01
3,Nikola Jokić,29,DEN,C,44,44,36.4,11.2,19.6,.571,2.0,4.3,.466,9.2,15.3,.600,.622,5.1,6.3,.815,3.1,9.8,12.9,10.3,1.8,0.7,3.1,2.1,29.5,,jokicni01
4,LaMelo Ball,23,CHO,PG,31,31,33.3,9.7,23.3,.419,4.1,12.3,.337,5.6,11.0,.510,.508,4.5,5.5,.820,1.0,4.3,5.3,7.3,1.4,0.3,3.7,3.5,28.2,,ballla01
5,Luka Dončić,25,DAL,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,,doncilu01
6,Tyrese Maxey,24,PHI,PG,42,42,38.0,9.6,21.6,.446,3.3,9.6,.347,6.3,12.0,.525,.523,5.2,5.9,.871,0.3,3.2,3.5,6.2,1.9,0.4,2.5,2.3,27.8,,maxeyty01
7,Kevin Durant,36,PHO,PF,39,39,36.2,9.8,18.6,.524,2.4,5.9,.398,7.4,12.7,.583,.587,5.0,6.1,.827,0.4,5.7,6.1,4.2,0.8,1.3,3.0,1.7,26.9,,duranke01
8,Jayson Tatum,26,BOS,PF,48,48,36.5,9.0,19.9,.452,3.6,10.1,.354,5.4,9.9,.552,.541,5.2,6.5,.801,0.6,8.2,8.8,5.7,1.3,0.5,2.8,2.2,26.8,,tatumja01
9,Anthony Edwards,23,MIN,SG,49,49,36.7,9.0,20.2,.446,4.1,9.8,.421,4.9,10.5,.469,.547,4.3,5.2,.832,0.8,4.9,5.7,4.5,1.2,0.7,3.4,2.0,26.5,,edwaran01
10,Devin Booker,28,PHO,SG,44,44,37.1,8.5,18.9,.451,2.7,7.8,.345,5.8,11.1,.527,.523,6.3,7.1,.894,1.0,3.1,4.0,6.7,1.1,0.3,2.6,2.4,26.1,,bookede01
11,Jalen Brunson,28,NYK,PG,50,50,35.3,9.0,18.4,.489,2.3,5.8,.397,6.7,12.6,.532,.552,5.7,7.0,.813,0.4,2.5,2.9,7.5,1.0,0.1,2.4,2.2,26.1,,brunsja01
12,Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,,davisan02
13,Cade Cunningham,23,DET,PG,46,46,35.6,9.5,21.0,.455,2.3,6.3,.356,7.3,14.6,.498,.509,4.0,4.8,.836,0.9,5.4,6.3,9.5,0.9,0.8,4.5,2.6,25.3,,cunnica01
14,De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,,foxde01
15,Damian Lillard,34,MIL,PG,40,40,36.5,7.7,17.3,.446,3.4,8.9,.380,4.3,8.4,.515,.543,6.2,6.8,.922,0.5,4.1,4.6,7.3,1.2,0.2,2.8,1.8,25.0,,lillada01
16,Franz Wagner,23,ORL,SF,31,31,33.1,8.8,19.2,.460,2.0,6.5,.308,6.8,12.7,.537,.512,5.3,6.0,.872,0.9,4.5,5.4,5.2,1.5,0.5,2.4,2.5,24.9,,wagnefr01
17,Joel Embiid,30,PHI,C,14,14,29.9,7.9,17.3,.459,1.2,3.8,.321,6.7,13.5,.497,.494,7.6,8.6,.884,1.9,6.3,8.1,4.3,0.9,0.9,3.3,2.2,24.7,,embiijo01
18,Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,,thomaca02
19,Victor Wembanyama,21,SAS,C,41,41,33.1,9.0,18.9,.477,3.2,9.0,.358,5.8,9.9,.585,.562,3.4,4.0,.843,1.7,9.1,10.9,3.7,1.1,3.9,3.4,2.2,24.6,,wembavi01
20,Kyrie Irving,32,DAL,SG,40,40,36.1,9.0,18.6,.481,2.9,7.1,.411,6.0,11.5,.524,.559,3.7,4.1,.902,1.1,3.6,4.8,4.8,1.2,0.4,2.3,2.1,24.5,,irvinky01
21,Karl-Anthony Towns,29,NYK,C,46,46,34.7,8.8,16.5,.532,2.0,4.6,.423,6.8,11.9,.575,.592,4.8,5.7,.840,3.2,10.4,13.6,3.3,1.0,0.8,2.5,3.5,24.3,,townska01
22,LeBron James,40,LAL,SF,45,45,34.6,9.3,18.1,.514,2.1,5.5,.381,7.2,12.6,.572,.572,3.4,4.4,.765,0.9,6.7,7.6,9.1,0.9,0.5,3.8,1.4,24.1,,jamesle01
23,Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,,lavinza01
24,Norman Powell,31,LAC,SG,41,41,33.2,8.3,16.7,.499,3.4,7.8,.434,5.0,8.9,.555,.600,3.9,4.7,.829,0.4,3.2,3.6,2.2,1.3,0.2,2.0,1.9,24.0,,powelno01
25,Tyler Herro,25,MIA,SG,47,47,35.5,8.2,17.6,.467,3.8,9.7,.391,4.4,7.9,.561,.575,3.6,4.1,.862,0.3,5.2,5.6,5.5,0.7,0.1,2.5,1.4,23.8,,herroty01
26,Donovan Mitchell,28,CLE,SG,48,48,31.3,8.4,18.6,.451,3.7,9.3,.395,4.7,9.3,.507,.549,3.4,4.1,.837,0.7,3.8,4.4,4.7,1.4,0.2,2.0,2.0,23.8,,mitchdo01
27,Jaren Jackson Jr.,25,MEM,C,48,48,29.7,8.4,16.9,.497,2.0,5.4,.362,6.5,11.5,.561,.555,4.5,5.7,.781,1.4,4.7,6.1,2.2,1.3,1.6,2.2,3.4,23.3,,jacksja02
28,Jaylen Brown,28,BOS,SF,44,44,35.4,8.6,18.7,.460,2.0,6.1,.321,6.6,12.6,.528,.513,4.0,5.4,.739,1.5,4.7,6.1,4.8,1.2,0.3,2.6,2.6,23.1,,brownja02
29,Trae Young,26,ATL,PG,46,46,35.9,7.0,17.4,.404,2.9,8.6,.343,4.1,8.9,.463,.488,6.0,7.0,.858,0.5,2.7,3.2,11.5,1.3,0.2,4.6,2.0,23.0,,youngtr01
30,Zion Williamson,24,NOP,PF,14,14,28.5,8.7,17.0,.513,0.1,0.8,.182,8.6,16.2,.529,.517,5.4,8.3,.647,3.0,5.0,8.0,5.0,1.1,1.2,3.1,2.9,22.9,,willizi01
31,Trey Murphy III,24,NOP,SF,34,32,35.4,7.6,16.1,.473,3.3,8.7,.382,4.3,7.4,.579,.576,4.1,4.6,.890,0.9,4.1,5.0,3.1,1.2,0.8,1.6,2.3,22.6,,murphtr02
32,Paolo Banchero,22,ORL,PF,17,17,33.8,8.0,19.1,.420,1.6,5.5,.287,6.4,13.5,.474,.461,4.9,7.9,.627,1.3,6.2,7.5,4.8,0.7,0.7,3.3,2.2,22.5,,banchpa01
33,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,ingrabr01
34,Stephen Curry,36,GSW,PG,40,40,31.8,7.4,17.0,.437,4.2,10.5,.395,3.3,6.5,.504,.559,3.2,3.4,.941,0.5,4.0,4.5,6.2,1.1,0.5,2.9,1.2,22.1,,curryst01
35,CJ McCollum,33,NOP,PG,37,37,33.5,8.3,18.5,.448,3.1,8.3,.373,5.2,10.2,.509,.531,2.4,3.4,.712,0.7,3.0,3.7,3.8,0.8,0.5,1.7,2.4,22.1,,mccolcj01
36,DeMar DeRozan,35,SAC,SF,44,44,35.8,8.1,16.8,.484,0.9,2.7,.325,7.2,14.0,.515,.511,4.6,5.4,.861,0.5,3.2,3.8,3.6,1.1,0.4,1.3,2.0,21.8,,derozde01
37,Darius Garland,25,CLE,PG,48,48,30.3,7.8,15.6,.501,3.0,6.9,.426,4.9,8.7,.560,.595,3.2,3.6,.879,0.5,2.0,2.5,6.8,1.1,0.2,2.4,2.1,21.8,,garlada01
38,RJ Barrett,24,TOR,SF,41,41,33.3,8.1,17.3,.470,1.8,5.2,.349,6.3,12.0,.522,.523,3.5,5.4,.655,1.0,5.6,6.6,5.7,0.8,0.3,3.0,2.6,21.6,,barrerj01
39,Jalen Green,22,HOU,SG,50,50,33.1,7.5,17.5,.428,2.8,8.1,.350,4.7,9.4,.495,.509,3.5,4.0,.870,0.6,3.8,4.3,2.9,0.9,0.3,2.6,1.7,21.3,,greenja05
40,James Harden,35,LAC,PG,47,47,33.8,6.2,15.8,.393,2.8,8.1,.341,3.4,7.7,.448,.480,6.1,6.8,.894,0.6,5.1,5.7,8.4,1.5,0.6,4.5,2.1,21.3,,hardeja01
41,Jalen Williams,23,OKC,SG,45,45,32.8,8.2,17.2,.475,1.7,5.0,.347,6.4,12.2,.527,.525,3.1,4.0,.781,0.8,4.8,5.6,5.2,1.8,0.8,2.3,2.5,21.1,,willija06
42,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,,millebr02
43,Domantas Sabonis,28,SAC,C,46,46,36.2,8.1,13.5,.598,1.1,2.5,.460,6.9,11.0,.629,.640,3.3,4.4,.766,4.0,10.3,14.3,6.5,0.6,0.4,3.0,3.5,20.6,,sabondo01
44,Ja Morant,25,MEM,PG,29,29,28.4,7.0,15.7,.447,1.6,4.8,.321,5.5,10.9,.503,.497,4.9,6.0,.815,0.7,3.5,4.1,7.6,1.3,0.3,3.9,1.8,20.5,,moranja01
45,Jamal Murray,27,DEN,PG,44,44,36.0,7.6,16.5,.459,2.0,5.6,.360,5.6,10.9,.510,.521,3.2,3.6,.875,0.6,3.4,4.0,6.1,1.5,0.6,2.2,1.8,20.4,,murraja01
46,Pascal Siakam,30,IND,PF,49,49,33.1,7.9,14.9,.530,1.7,4.2,.403,6.2,10.7,.580,.587,2.9,3.8,.761,1.8,5.5,7.3,3.4,0.9,0.5,1.3,2.6,20.4,,siakapa01
47,Jordan Poole,25,WAS,SG,42,42,31.0,6.5,15.8,.414,3.6,9.1,.391,3.0,6.7,.445,.526,3.6,4.2,.864,0.5,2.6,3.1,4.8,1.5,0.5,3.4,3.2,20.3,,poolejo01
48,Scottie Barnes,23,TOR,PF,37,37,34.5,7.7,16.9,.454,1.4,4.9,.275,6.3,12.0,.527,.494,3.5,4.5,.768,1.6,6.4,8.0,6.4,1.4,0.9,3.1,2.1,20.2,,barnesc01
49,Nikola Vučević,34,CHI,C,50,50,32.3,8.0,14.7,.548,1.9,4.6,.401,6.2,10.0,.616,.611,1.8,2.2,.807,2.4,8.0,10.4,3.5,0.9,0.7,1.6,2.4,19.7,,vucevni01
50,Miles Bridges,26,CHO,PF,33,33,32.1,7.2,16.4,.435,2.0,6.8,.295,5.2,9.6,.535,.496,3.3,3.8,.871,1.0,6.8,7.8,3.8,0.7,0.6,2.1,1.6,19.6,,bridgmi02
51,Cameron Johnson,28,BRK,PF,35,35,32.3,6.5,13.1,.491,3.2,7.6,.419,3.3,5.5,.591,.613,3.3,3.7,.898,0.7,3.3,4.1,2.9,0.8,0.5,1.7,1.8,19.4,,johnsca02
52,Lauri Markkanen,27,UTA,PF,37,37,31.9,6.2,14.7,.424,3.0,8.5,.352,3.2,6.2,.522,.526,3.8,4.5,.861,1.7,4.5,6.2,1.7,0.7,0.4,1.4,1.8,19.3,,markkla01
53,Kristaps Porziņģis,29,BOS,C,26,26,28.6,6.4,13.6,.469,2.5,6.2,.406,3.9,7.5,.521,.561,4.0,4.7,.837,1.7,5.4,7.1,2.1,0.8,1.6,1.0,2.8,19.2,,porzikr01
54,Alperen Şengün,22,HOU,C,47,47,31.4,7.6,15.6,.490,0.3,1.4,.227,7.3,14.1,.516,.500,3.7,5.3,.700,3.5,7.1,10.6,5.0,1.3,0.8,2.4,2.8,19.2,,sengual01
55,De'Andre Hunter,27,ATL,SF,36,3,28.5,6.1,13.3,.459,2.5,6.6,.386,3.6,6.7,.531,.555,4.2,4.9,.858,0.7,3.0,3.8,1.4,0.8,0.1,1.6,2.4,18.9,,huntede01
56,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,johnsja05
57,Julius Randle,30,MIN,PF,48,48,32.6,6.6,14.0,.470,1.5,4.6,.321,5.1,9.4,.542,.522,4.2,5.2,.811,2.1,5.0,7.2,4.5,0.7,0.2,2.8,2.5,18.9,,randlju01
58,Coby White,24,CHI,SG,44,44,32.6,6.3,14.4,.435,3.0,8.2,.370,3.2,6.2,.522,.541,2.9,3.3,.889,0.3,3.0,3.4,4.7,1.0,0.2,2.5,2.3,18.5,,whiteco01
59,Austin Reaves,26,LAL,SG,43,43,34.7,6.1,13.6,.451,2.6,7.0,.372,3.5,6.6,.533,.546,3.6,4.2,.845,0.8,3.5,4.3,6.2,1.1,0.2,2.4,1.9,18.4,,reaveau01
60,Michael Porter Jr.,26,DEN,SF,50,50,33.3,6.9,13.5,.513,2.6,6.3,.408,4.3,7.2,.606,.609,1.9,2.6,.744,1.6,4.8,6.4,2.2,0.6,0.5,1.3,1.9,18.3,,portemi01
61,Collin Sexton,26,UTA,SG,46,44,28.5,6.5,13.6,.478,1.9,4.6,.412,4.6,9.0,.511,.547,3.5,3.9,.894,1.1,1.8,2.9,4.1,0.7,0.1,2.5,2.3,18.3,,sextoco01
62,Mikal Bridges,28,NYK,SF,51,51,38.3,7.5,15.1,.494,2.4,6.6,.360,5.1,8.4,.600,.573,0.9,1.2,.742,0.9,2.2,3.1,3.3,1.0,0.5,1.6,1.5,18.2,,bridgmi01
63,Malik Monk,26,SAC,SG,41,28,32.1,6.7,14.8,.449,2.3,6.9,.331,4.4,7.9,.552,.526,2.6,3.0,.877,0.4,3.4,3.8,5.9,1.0,0.6,2.1,2.6,18.2,,monkma01
64,Anfernee Simons,25,POR,SG,47,47,32.2,6.4,15.3,.422,2.9,8.0,.368,3.5,7.3,.481,.518,2.4,2.6,.895,0.3,2.4,2.8,5.0,0.8,0.1,2.1,1.8,18.2,,simonan01
65,John Collins,27,UTA,PF,31,22,29.9,6.7,12.5,.535,1.5,3.3,.455,5.2,9.3,.563,.594,3.2,3.7,.870,2.3,6.1,8.3,2.3,1.0,1.0,2.6,3.1,18.1,,collijo01
66,Evan Mobley,23,CLE,PF,44,44,29.9,7.0,12.3,.564,1.1,2.8,.385,5.9,9.6,.615,.607,3.0,4.0,.756,2.1,6.9,9.0,2.8,0.9,1.4,1.9,2.0,18.0,,mobleev01
67,Desmond Bane,26,MEM,SG,40,39,30.1,6.8,13.7,.498,2.2,5.6,.384,4.7,8.1,.577,.577,2.1,2.5,.859,1.0,4.7,5.7,5.5,1.2,0.4,2.5,2.4,17.9,,banede01
68,Tyrese Haliburton,24,IND,PG,48,48,34.0,6.1,13.7,.450,2.9,7.9,.366,3.3,5.8,.563,.555,2.7,3.2,.843,0.6,3.0,3.6,8.5,1.3,0.7,1.8,1.3,17.9,,halibty01
69,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,iveyja01
70,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.3,0.9,0.8,1.3,1.6,17.6,,wiggian01
71,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,murrade01
72,Shaedon Sharpe,21,POR,SG,43,31,30.4,6.4,14.3,.444,1.9,6.1,.318,4.4,8.3,.537,.511,2.6,3.2,.809,0.7,3.1,3.8,2.4,0.8,0.2,1.9,1.9,17.2,,sharpsh01
73,Bradley Beal,31,PHO,SG,36,23,32.4,6.6,13.3,.492,2.1,5.1,.400,4.5,8.2,.549,.569,2.0,2.5,.789,0.7,2.7,3.4,3.4,1.1,0.6,2.0,2.6,17.1,,bealbr01
74,Paul George,34,PHI,PF,30,30,32.0,6.3,14.6,.429,2.4,6.7,.365,3.8,7.9,.483,.513,2.2,2.6,.823,0.7,5.0,5.6,4.7,1.7,0.4,2.7,2.5,17.1,,georgpa01
75,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,butleji01
76,Jonathan Kuminga,22,GSW,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,,kuminjo01
77,Bam Adebayo,27,MIA,C,47,47,33.9,6.3,13.5,.470,0.7,2.5,.286,5.6,11.0,.513,.497,3.0,4.1,.724,2.4,7.5,9.9,4.6,1.3,0.8,2.2,2.1,16.4,,adebaba01
78,OG Anunoby,27,NYK,PF,49,49,36.3,6.2,12.8,.482,2.1,5.8,.365,4.1,7.0,.577,.564,1.9,2.4,.792,1.3,3.4,4.7,2.0,1.4,0.9,1.3,2.3,16.4,,anunoog01
79,Chet Holmgren,22,OKC,C,10,10,26.5,5.6,11.1,.505,1.4,3.7,.378,4.2,7.4,.568,.568,3.8,4.9,.776,1.6,7.1,8.7,2.0,0.8,2.6,2.3,1.8,16.4,,holmgch01
80,Malik Beasley,28,DET,SG,50,11,27.8,5.7,13.1,.434,3.8,9.2,.413,1.9,3.9,.482,.579,1.1,1.7,.675,0.6,2.4,2.9,1.8,0.9,0.0,1.1,1.5,16.3,,beaslma01
81,Keyonte George,21,UTA,PG,38,32,31.3,5.3,13.6,.389,2.6,7.6,.337,2.7,6.0,.454,.483,3.0,3.8,.804,0.4,3.2,3.6,5.8,0.7,0.2,2.9,1.8,16.2,,georgke01
82,Bennedict Mathurin,22,IND,SF,47,42,31.7,5.7,12.2,.470,1.5,4.2,.357,4.3,8.0,.529,.531,3.2,3.9,.820,1.2,4.5,5.7,1.8,0.6,0.4,2.0,2.5,16.2,,mathube01
83,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,suggsja01
84,Derrick White,30,BOS,SG,48,48,33.8,5.5,12.6,.440,3.4,8.9,.380,2.2,3.7,.584,.575,1.7,2.1,.820,1.0,3.3,4.2,4.2,0.9,1.2,1.6,1.9,16.2,,whitede01
85,Jordan Clarkson,32,UTA,SG,26,3,25.6,5.4,13.2,.412,2.1,5.9,.359,3.3,7.3,.455,.493,3.1,3.8,.818,0.6,2.5,3.2,3.7,0.9,0.3,2.2,1.5,16.1,,clarkjo01
86,Devin Vassell,24,SAS,SG,32,21,30.1,6.1,14.0,.432,2.3,6.4,.354,3.8,7.6,.498,.513,1.7,2.2,.757,0.7,3.0,3.6,3.0,1.1,0.5,1.6,1.6,16.1,,vassede01
87,Mark Williams,23,CHO,C,22,19,25.0,6.3,10.5,.597,0.0,0.0,.000,6.3,10.5,.600,.597,3.5,4.5,.776,3.4,6.5,9.8,2.5,0.7,1.2,1.0,2.6,16.0,,willima07
88,Kawhi Leonard,33,LAC,SF,12,12,24.3,6.5,13.9,.467,1.5,4.3,.346,5.0,9.6,.522,.521,1.4,1.9,.739,0.7,3.9,4.6,2.4,0.9,0.5,1.7,1.1,15.9,,leonaka01
89,Gradey Dick,21,TOR,SG,43,43,29.9,5.3,12.7,.420,2.2,6.3,.352,3.1,6.4,.489,.508,2.7,3.1,.886,0.7,2.5,3.3,2.0,0.8,0.2,1.6,2.3,15.7,,dickgr01
90,Myles Turner,28,IND,C,45,45,31.1,5.5,11.5,.479,2.1,5.2,.402,3.4,6.3,.543,.570,2.4,3.1,.752,1.3,5.4,6.7,1.6,0.8,1.8,2.0,2.9,15.4,,turnemy01
91,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,,mccaija01
92,Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,,kuzmaky01
93,Ivica Zubac,27,LAC,C,48,48,31.9,6.7,11.0,.608,0.0,0.0,,6.7,11.0,.608,.608,1.7,2.8,.610,3.8,8.8,12.6,2.5,0.7,1.1,1.7,1.9,15.1,,zubaciv01
94,Immanuel Quickley,25,TOR,PG,12,12,25.8,4.9,12.1,.407,2.1,5.7,.368,2.8,6.4,.442,.493,3.1,3.3,.925,0.2,1.9,2.1,5.7,0.6,0.2,1.4,1.5,15.0,,quickim01
95,Jerami Grant,30,POR,PF,39,39,32.2,4.7,12.2,.385,2.3,6.1,.382,2.4,6.1,.388,.481,3.1,3.6,.850,0.6,2.7,3.3,2.2,0.7,1.0,1.3,2.3,14.8,,grantje01
96,Deni Avdija,24,POR,SF,48,30,28.9,4.9,10.5,.465,1.5,4.4,.341,3.4,6.1,.554,.537,3.4,4.4,.778,1.2,5.3,6.5,3.4,1.0,0.6,2.5,2.3,14.7,,avdijde01
97,Deandre Ayton,26,POR,C,37,37,30.4,6.8,11.9,.572,0.2,0.9,.188,6.6,11.0,.602,.579,0.9,1.4,.654,3.1,7.2,10.4,1.6,0.8,0.9,1.7,2.2,14.6,,aytonde01
98,Fred VanVleet,30,HOU,PG,45,45,35.5,5.0,13.0,.387,2.7,7.8,.344,2.4,5.3,.450,.489,1.9,2.3,.824,0.7,3.2,3.9,5.8,1.6,0.4,1.6,2.4,14.6,,vanvlfr01
99,Dennis Schröder,31,2TM,SG,47,41,29.8,5.1,12.3,.418,2.0,5.6,.358,3.1,6.6,.469,.501,2.1,2.6,.842,0.3,2.3,2.6,5.5,1.1,0.1,2.3,2.6,14.4,,schrode01
99,Dennis Schröder,31,BRK,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,,schrode01
99,Dennis Schröder,31,GSW,SG,24,18,26.2,3.9,10.5,.375,1.5,4.8,.322,2.4,5.7,.419,.448,1.2,1.6,.744,0.4,1.9,2.3,4.4,1.0,0.1,2.0,2.8,10.6,,schrode01
100,Christian Braun,23,DEN,SG,49,47,32.6,5.6,9.9,.569,1.0,2.7,.377,4.6,7.2,.640,.620,2.2,2.6,.829,1.3,3.5,4.8,2.0,1.1,0.5,1.0,2.2,14.4,,braunch01
101,P.J. Washington,26,DAL,PF,42,41,32.9,5.2,11.8,.439,1.6,4.3,.380,3.6,7.6,.472,.507,2.4,3.2,.750,1.6,6.7,8.4,2.3,1.2,1.0,1.9,2.5,14.4,,washipj01
102,Josh Hart,29,NYK,SG,50,50,37.6,5.5,9.9,.558,1.1,3.3,.343,4.4,6.6,.666,.615,2.1,2.6,.815,2.2,7.4,9.7,5.8,1.5,0.4,1.9,2.6,14.3,,hartjo01
103,Kelly Oubre Jr.,29,PHI,SF,46,43,34.3,5.5,11.9,.459,1.2,4.2,.293,4.2,7.7,.548,.510,2.2,2.9,.748,1.6,4.7,6.3,1.9,1.5,0.5,1.3,2.9,14.3,,oubreke01
104,Jakob Poeltl,29,TOR,C,45,44,30.9,6.2,10.2,.610,0.0,0.0,.000,6.2,10.2,.613,.610,1.7,2.6,.658,3.5,6.6,10.1,2.8,1.2,1.3,1.9,3.3,14.2,,poeltja01
105,Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,,manntr01
106,Jarrett Allen,26,CLE,C,50,50,28.9,5.6,8.0,.701,0.0,0.0,.000,5.6,8.0,.705,.701,2.5,3.4,.741,2.6,7.6,10.2,1.9,0.9,0.9,1.1,1.4,13.8,,allenja01
